Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Genève;1202;00;368;Genève;6621;GE;99.154 %;2499543.000;1119166.000;fr;2008-07-01
Genève;1202;00;368;Pregny-Chambésy;6634;GE;0.846 %;2499379.000;1120954.000;fr;2008-07-01
Genève;1203;00;369;Genève;6621;GE;100 %;2498494.000;1118267.000;fr;2008-07-01
Genève;1204;00;370;Genève;6621;GE;100 %;2500269.000;1117566.000;fr;2008-07-01
Genève;1205;00;371;Genève;6621;GE;100 %;2499933.000;1116847.000;fr;2008-07-01
Genève;1206;00;372;Genève;6621;GE;100 %;2500984.000;1116372.000;fr;2008-07-01
Genève;1207;00;373;Genève;6621;GE;100 %;2501311.000;1117661.000;fr;2008-07-01
Genève;1208;00;374;Genève;6621;GE;100 %;2501848.000;1117098.000;fr;2008-07-01
Genève;1209;00;376;Genève;6621;GE;98.004 %;2498557.000;1119760.000;fr;2008-07-01
Genève;1209;00;376;Vernier;6643;GE;1.452 %;2497787.000;1119406.000;fr;2008-07-01
Genève;1209;00;376;Le Grand-Saconnex;6623;GE;0.544 %;2498607.000;1120264.000;fr;2008-07-01
Grand-Lancy;1212;00;411;Lancy;6628;GE;91.495 %;2498134.000;1114994.000;fr;2008-07-01
Grand-Lancy;1212;00;411;Onex;6631;GE;8.203 %;2497165.000;1114750.000;fr;2008-07-01
Grand-Lancy;1212;00;411;Plan-les-Ouates;6633;GE;0.302 %;2496689.673;1114538.385;fr;2008-07-01
Petit-Lancy;1213;00;415;Lancy;6628;GE;97.53 %;2498000.000;1116434.000;fr;2008-07-01
Petit-Lancy;1213;00;415;Genève;6621;GE;2.47 %;2498165.000;1117223.000;fr;2008-07-01
Onex;1213;03;418;Onex;6631;GE;99.804 %;2496838.000;1115451.000;fr;2008-07-01
Onex;1213;03;418;Lancy;6628;GE;0.196 %;2497443.000;1115533.000;fr;2008-07-01
Vernier;1214;00;420;Vernier;6643;GE;90.3 %;2495196.000;1118866.000;fr;2008-07-01
Vernier;1214;00;420;Satigny;6638;GE;7.981 %;2494136.000;1118814.000;fr;2008-07-01
Vernier;1214;00;420;Meyrin;6630;GE;1.72 %;2494441.279;1119626.079;fr;2008-07-01
Genève;1215;00;421;Le Grand-Saconnex;6623;GE;50.909 %;2497611.000;1121302.000;fr;2008-07-01
Genève;1215;00;421;Meyrin;6630;GE;49.091 %;2496716.000;1120319.000;fr;2008-07-01
Cointrin;1216;00;423;Meyrin;6630;GE;69.737 %;2497210.000;1120083.000;fr;2008-07-01
Cointrin;1216;00;423;Vernier;6643;GE;30.144 %;2497702.000;1119907.000;fr;2008-07-01
Cointrin;1216;00;423;Le Grand-Saconnex;6623;GE;0.12 %;2497806.000;1120045.000;fr;2008-07-01
Meyrin;1217;00;424;Meyrin;6630;GE;100 %;2494968.000;1120781.000;fr;2008-07-01
Le Grand-Saconnex;1218;00;428;Le Grand-Saconnex;6623;GE;99.618 %;2498175.000;1120665.000;fr;2008-07-01
Le Grand-Saconnex;1218;00;428;Genève;6621;GE;0.382 %;2499215.000;1120791.000;fr;2008-07-01
Le Lignon;1219;00;429;Vernier;6643;GE;100 %;2496647.000;1117908.000;fr;2008-07-01
Aïre;1219;10;430;Vernier;6643;GE;100 %;2496569.000;1117234.000;fr;2008-07-01
Châtelaine;1219;12;432;Vernier;6643;GE;100 %;2497447.000;1118863.000;fr;2008-07-01
Les Avanchets;1220;00;435;Vernier;6643;GE;100 %;2497408.000;1119681.000;fr;2008-07-01
Vésenaz;1222;00;436;Collonge-Bellerive;6616;GE;100 %;2504679.000;1121900.000;fr;2008-07-01
Cologny;1223;00;438;Cologny;6617;GE;100 %;2503448.000;1119303.000;fr;2008-07-01
Chêne-Bougeries;1224;00;439;Chêne-Bougeries;6612;GE;100 %;2503290.000;1117259.000;fr;2008-07-01
Chêne-Bourg;1225;00;440;Chêne-Bourg;6613;GE;100 %;2504225.000;1116973.000;fr;2008-07-01
Thônex;1226;00;442;Thônex;6640;GE;100 %;2504962.000;1116796.000;fr;2008-07-01
Carouge GE;1227;00;443;Carouge (GE);6608;GE;99.908 %;2499775.000;1115408.000;fr;2008-07-01
Carouge GE;1227;00;443;Genève;6621;GE;0.092 %;2499037.709;1116143.747;fr;2008-07-01
Les Acacias;1227;04;444;Genève;6621;GE;93.023 %;2499395.000;1116415.000;fr;2008-07-01
Les Acacias;1227;04;444;Lancy;6628;GE;5.497 %;2498693.000;1116162.000;fr;2008-07-01
Les Acacias;1227;04;444;Carouge (GE);6608;GE;1.48 %;2499662.488;1116061.314;fr;2008-07-01
Plan-les-Ouates;1228;00;447;Plan-les-Ouates;6633;GE;99.428 %;2498068.000;1113782.000;fr;2008-07-01
Plan-les-Ouates;1228;00;447;Lancy;6628;GE;0.458 %;2499503.000;1113850.000;fr;2008-07-01
Plan-les-Ouates;1228;00;447;Confignon;6618;GE;0.114 %;2496874.000;1114129.000;fr;2008-07-01
